序号,推荐类别,目标名称,NORAD ID,COSPAR ID,轨道类型,估算高度,倾角,平均运动,来源分组,教学价值,推荐理由
325,科学/测地,HINODE (SOLAR-B),29479,2006-041A,SSO/近极轨,约666 km,98.05,14.686306,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
326,科学/测地,HISAKI (SPRINT-A),39253,2013-049A,LEO,"约1,052 km",29.72,13.555453,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
327,气象环境,INSAT-3D,39216,2013-038B,GEO/高轨,"约35,786 km",1.95,1.002726,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
328,气象环境,INSAT-3DR,41752,2016-054A,GEO/高轨,"约35,787 km",0.13,1.002723,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
329,气象环境,INSAT-3DS,58990,2024-033A,GEO/高轨,"约35,787 km",0.06,1.00271,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
330,科学/测地,IRIS,39197,2013-033A,SSO/近极轨,约611 km,97.93,14.858994,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
331,科学/测地,IXPE,49954,2021-121A,LEO,约535 km,0.23,15.103032,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
332,气象环境,METEOSAT-10 (MSG-3),38552,2012-035B,GEO/高轨,"约35,788 km",4.69,1.002682,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
333,气象环境,METEOSAT-11 (MSG-4),40732,2015-034A,GEO/高轨,"约35,788 km",3.22,1.002656,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
334,气象环境,METEOSAT-12 (MTG-I1),54743,2022-170C,GEO/高轨,"约35,786 km",0.75,1.002748,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
335,气象环境,METEOSAT-9 (MSG-2),28912,2005-049B,GEO/高轨,"约35,786 km",9.38,1.002761,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
336,气象环境,METOP-B,38771,2012-049A,SSO/近极轨,约821 km,98.65,14.214413,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
337,气象环境,METOP-C,43689,2018-087A,SSO/近极轨,约820 km,98.66,14.215141,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
338,气象环境,METOP-SGA1,65159,2025-172A,SSO/近极轨,约826 km,98.66,14.19816,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
339,科学/测地,MMS 1,40482,2015-011A,GEO/高轨,"约91,486 km",72.26,0.283574,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
340,科学/测地,MMS 2,40483,2015-011B,GEO/高轨,"约91,487 km",72.27,0.283572,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
341,科学/测地,MMS 3,40484,2015-011C,GEO/高轨,"约91,487 km",72.27,0.283572,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
342,科学/测地,MMS 4,40485,2015-011D,GEO/高轨,"约91,486 km",72.26,0.283574,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
343,科学/测地,MOST,27843,2003-031D,SSO/近极轨,约821 km,98.7,14.213236,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
344,气象环境,MTG-S1,64723,2025-143A,GEO/高轨,"约35,751 km",0.6,1.004008,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
345,科学/测地,NEOSSAT,39089,2013-009D,SSO/近极轨,约772 km,98.42,14.35829,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
346,科学/测地,NUSTAR,38358,2012-031A,LEO,约540 km,6.03,15.088747,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
347,科学/测地,OCO 2,40059,2014-035A,SSO/近极轨,约703 km,98.2,14.571171,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
348,科学/测地,ODIN,26702,2001-007A,SSO/近极轨,约336 km,97.38,15.781101,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
349,科学/测地,PISAT,41784,2016-059B,SSO/近极轨,约664 km,97.82,14.689953,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
350,科学/测地,POLAR,23802,1996-013A,MEO,"约29,113 km",79.86,1.298461,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
351,科学/测地,SALSAT,46495,2020-068K,SSO/近极轨,约476 km,97.89,15.29899,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
352,科学/测地,SCISAT 1,27858,2003-036A,LEO,约625 km,73.93,14.814541,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
353,科学/测地,SDO,36395,2010-005A,GEO/高轨,"约35,787 km",34.66,1.002706,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
354,科学/测地,SHIJIAN-6 02A (SJ-6 02A),29505,2006-046A,SSO/近极轨,约515 km,97.64,15.170086,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
355,科学/测地,SHIJIAN-6 02B (SJ-6 02B),29506,2006-046B,SSO/近极轨,约563 km,97.72,15.013911,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
356,遥感观测,SKYTERRA 1,37218,2010-061A,GEO/高轨,"约35,786 km",5.14,1.002729,geo,GEO地球同步卫星,适合讲解对地成像、资源调查和太阳同步轨道。
357,科学/测地,SMILE,69123,2026-109A,HEO/其他,"约4,607 km",69.98,7.54049,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
358,科学/测地,SORCE,27651,2003-004A,LEO,约556 km,39.99,15.037394,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
359,科学/测地,STSAT-3,39422,2013-066G,SSO/近极轨,约558 km,97.62,15.027957,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
360,气象环境,SUOMI NPP,37849,2011-061A,SSO/近极轨,约827 km,98.8,14.195187,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
361,科学/测地,SWARM A,39452,2013-067B,LEO,约414 km,87.33,15.510933,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
362,科学/测地,SWARM B,39451,2013-067A,LEO,约480 km,87.74,15.285961,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
363,科学/测地,SWARM C,39453,2013-067C,LEO,约414 km,87.33,15.510923,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
364,科学/测地,SWAS,25560,1998-071A,LEO,约537 km,69.89,15.096552,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
365,气象环境,TIANMU-1 03,55973,2023-039A,SSO/近极轨,约424 km,97.52,15.474619,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
366,气象环境,TIANMU-1 04,55974,2023-039B,SSO/近极轨,约423 km,97.52,15.480656,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
367,气象环境,TIANMU-1 05,55975,2023-039C,SSO/近极轨,约425 km,97.52,15.47385,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
368,气象环境,TIANMU-1 06,55976,2023-039D,SSO/近极轨,约423 km,97.52,15.479682,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
369,气象环境,TIANMU-1 07,57399,2023-101A,SSO/近极轨,约476 km,97.26,15.298779,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
370,气象环境,TIANMU-1 08,57400,2023-101B,SSO/近极轨,约476 km,97.26,15.298821,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
371,气象环境,TIANMU-1 09,57401,2023-101C,SSO/近极轨,约476 km,97.25,15.299152,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
372,气象环境,TIANMU-1 10,57402,2023-101D,SSO/近极轨,约476 km,97.26,15.298877,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
373,气象环境,TIANMU-1 11,58645,2023-205A,SSO/近极轨,约485 km,97.34,15.270582,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
374,气象环境,TIANMU-1 12,58646,2023-205B,SSO/近极轨,约485 km,97.34,15.270247,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
375,气象环境,TIANMU-1 13,58647,2023-205C,SSO/近极轨,约485 km,97.35,15.268775,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
376,气象环境,TIANMU-1 14,58648,2023-205D,SSO/近极轨,约485 km,97.34,15.269221,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
377,气象环境,TIANMU-1 15,58700,2024-004A,SSO/近极轨,约485 km,97.47,15.27077,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
378,气象环境,TIANMU-1 16,58701,2024-004B,SSO/近极轨,约485 km,97.46,15.268101,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
379,气象环境,TIANMU-1 17,58702,2024-004C,SSO/近极轨,约485 km,97.46,15.26809,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
380,气象环境,TIANMU-1 18,58703,2024-004D,SSO/近极轨,约485 km,97.47,15.270658,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
381,气象环境,TIANMU-1 19,58660,2023-208A,SSO/近极轨,约471 km,97.45,15.316651,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
382,气象环境,TIANMU-1 20,58661,2023-208B,SSO/近极轨,约467 km,97.44,15.328558,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
383,气象环境,TIANMU-1 21,58662,2023-208C,SSO/近极轨,约461 km,97.45,15.351848,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
384,气象环境,TIANMU-1 22,58663,2023-208D,SSO/近极轨,约473 km,97.45,15.311423,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
385,科学/测地,TIMED,26998,2001-055B,LEO,约582 km,74.07,14.953056,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
386,科学/测地,X-SAT,37389,2011-015C,SSO/近极轨,约808 km,98.35,14.252077,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
387,科学/测地,XMM-NEWTON,25989,1999-066A,GEO/高轨,"约60,561 km",64.44,0.501279,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
388,遥感观测,ALOS-4 (DAICHI-4),60182,2024-123A,SSO/近极轨,约631 km,97.92,14.79468,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
389,遥感观测,ALSAT-1B,41785,2016-059C,SSO/近极轨,约654 km,97.78,14.722799,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
390,遥感观测,ARIRANG-2 (KOMPSAT-2),29268,2006-031A,SSO/近极轨,约678 km,97.83,14.646628,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
391,遥感观测,ARIRANG-3 (KOMPSAT-3),38338,2012-025B,SSO/近极轨,约686 km,98.12,14.622125,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
392,遥感观测,ARIRANG-5 (KOMPSAT-5),39227,2013-042A,SSO/近极轨,约553 km,97.62,15.045048,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
393,遥感观测,ASNARO,40298,2014-070A,SSO/近极轨,约507 km,97.35,15.195375,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
394,遥感观测,AURA,28376,2004-026A,SSO/近极轨,约689 km,98.34,14.613382,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
395,遥感观测,BIOMASS,63772,2025-090A,SSO/近极轨,约669 km,98.07,14.675376,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
396,遥感观测,CARBONITE 1 (CBNT-1),40718,2015-032D,SSO/近极轨,约618 km,97.65,14.836078,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
397,遥感观测,CARTOSAT-2A,32783,2008-021A,SSO/近极轨,约632 km,97.76,14.792492,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
398,遥感观测,CARTOSAT-2B,36795,2010-035A,SSO/近极轨,约634 km,98.0,14.78671,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
399,遥感观测,CARTOSAT-2C,41599,2016-040A,SSO/近极轨,约508 km,97.45,15.192392,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
400,遥感观测,CARTOSAT-2D,41948,2017-008A,SSO/近极轨,约508 km,97.41,15.192596,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
401,遥感观测,CARTOSAT-2E,42767,2017-036C,SSO/近极轨,约508 km,97.43,15.192214,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
402,遥感观测,CARTOSAT-2F,43111,2018-004A,SSO/近极轨,约508 km,97.48,15.192708,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
403,遥感观测,CARTOSAT-3,44804,2019-081A,SSO/近极轨,约508 km,97.43,15.193271,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
404,遥感观测,CAS500-1,47932,2021-022A,SSO/近极轨,约506 km,97.39,15.201431,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
405,遥感观测,CAS500-2,69013,2026-100AK,SSO/近极轨,约504 km,97.4,15.206764,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
406,遥感观测,CAS500-3,66655,2025-274F,SSO/近极轨,约603 km,97.74,14.88335,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
407,遥感观测,CBERS 4,40336,2014-079A,SSO/近极轨,约774 km,98.35,14.355106,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
408,遥感观测,CO3D 1,64903,2025-156E,SSO/近极轨,约505 km,97.43,15.202184,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
409,遥感观测,CO3D 2,64902,2025-156D,SSO/近极轨,约505 km,97.43,15.20201,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
410,遥感观测,CO3D 3,64900,2025-156B,SSO/近极轨,约505 km,97.43,15.201993,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
411,遥感观测,CO3D 4,64901,2025-156C,SSO/近极轨,约505 km,97.43,15.202011,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
412,遥感观测,COSMO-SKYMED 2,32376,2007-059A,SSO/近极轨,约623 km,97.89,14.821504,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
413,遥感观测,COSMO-SKYMED 3,33412,2008-054A,SSO/近极轨,约546 km,97.83,15.069907,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
414,遥感观测,COSMO-SKYMED 4,37216,2010-060A,SSO/近极轨,约623 km,97.89,14.821598,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
415,遥感观测,CSG-1,44873,2019-092A,SSO/近极轨,约623 km,97.89,14.821592,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
416,遥感观测,CSG-2,51444,2022-008A,SSO/近极轨,约623 km,97.89,14.821579,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
417,遥感观测,CSG-3,67304,2026-001A,SSO/近极轨,约623 km,97.89,14.821586,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
418,遥感观测,DEIMOS-1,35681,2009-041A,SSO/近极轨,约645 km,97.74,14.752428,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
419,遥感观测,DEIMOS-2,40013,2014-033D,SSO/近极轨,约586 km,97.58,14.937475,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
420,遥感观测,DLR-TUBSAT,25757,1999-029B,SSO/近极轨,约718 km,98.67,14.524283,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
421,遥感观测,DUBAISAT-1,35682,2009-041B,SSO/近极轨,约645 km,98.01,14.751343,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
422,遥感观测,DUBAISAT-2,39419,2013-066D,SSO/近极轨,约536 km,97.46,15.102349,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
423,遥感观测,EXACTVIEW-1 (ADS-1B),38709,2012-039C,SSO/近极轨,约809 km,98.98,14.249864,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
424,遥感观测,FORMOSAT-5,42920,2017-049A,SSO/近极轨,约723 km,98.23,14.509014,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
425,遥感观测,GAOFEN-1,39150,2013-018A,SSO/近极轨,约640 km,97.91,14.765438,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
426,遥感观测,GAOFEN-1 02,43259,2018-031A,SSO/近极轨,约641 km,98.05,14.764176,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
427,遥感观测,GAOFEN-1 03,43260,2018-031B,SSO/近极轨,约641 km,98.05,14.764332,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
428,遥感观测,GAOFEN-1 04,43262,2018-031D,SSO/近极轨,约641 km,98.05,14.764422,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
429,遥感观测,GAOFEN-10R,44622,2019-066A,SSO/近极轨,约620 km,98.05,14.830155,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
430,遥感观测,GAOFEN-11 01,43585,2018-063A,SSO/近极轨,约401 km,97.13,15.554698,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
431,遥感观测,GAOFEN-12 01,44819,2019-082A,SSO/近极轨,约628 km,97.81,14.804644,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
432,遥感观测,GAOFEN-12 02,48079,2021-026A,SSO/近极轨,约629 km,97.99,14.803016,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
433,遥感观测,GAOFEN-12 03,52912,2022-069A,SSO/近极轨,约629 km,97.83,14.800424,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
434,遥感观测,GAOFEN-2,40118,2014-049A,SSO/近极轨,约627 km,98.01,14.809071,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
435,遥感观测,GAOFEN-3,41727,2016-049A,SSO/近极轨,约751 km,98.4,14.42216,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
436,遥感观测,GAOFEN-4,41194,2015-083A,GEO/高轨,"约35,787 km",0.38,1.002718,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
437,遥感观测,GAOFEN-5 01,43461,2018-043A,SSO/近极轨,约691 km,98.46,14.606102,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
438,遥感观测,GAOFEN-6,43484,2018-048A,SSO/近极轨,约641 km,98.05,14.764282,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
439,遥感观测,GAOFEN-8,40701,2015-030A,SSO/近极轨,约428 km,97.69,15.462051,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
440,遥感观测,GAOFEN-9 01,40894,2015-047A,SSO/近极轨,约620 km,97.63,14.828976,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
441,遥感观测,GEOEYE 1,33331,2008-042A,SSO/近极轨,约678 km,98.12,14.647321,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
442,遥感观测,GOKTURK 1A,41875,2016-073A,SSO/近极轨,约684 km,98.12,14.627802,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
443,遥感观测,GOKTURK 2,39030,2012-073A,SSO/近极轨,约644 km,97.68,14.755488,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
444,遥感观测,GOSAT (IBUKI),33492,2009-002A,SSO/近极轨,约669 km,98.09,14.675379,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
445,遥感观测,GOSAT-GW (IBUKI GW),64694,2025-141A,SSO/近极轨,约669 km,98.06,14.675552,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
446,遥感观测,GPM-CORE,39574,2014-009C,LEO,约432 km,64.97,15.447284,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
447,遥感观测,HAIYANG-1B,31113,2007-010A,SSO/近极轨,约788 km,98.35,14.310284,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
448,遥感观测,HAIYANG-2A,37781,2011-043A,SSO/近极轨,约985 km,99.34,13.741697,resource,资源/遥感卫星,适合讲解对地成像、资源调查和太阳同步轨道。
449,科学/测地,LAGEOS 1,8820,1976-039A,HEO/其他,"约5,893 km",109.8,6.386647,geodetic,测地卫星,适合讲解空间科学、测地基准和特殊任务轨道。
450,科学/测地,LAGEOS 2,22195,1992-070B,HEO/其他,"约5,784 km",52.66,6.472936,geodetic,测地卫星,适合讲解空间科学、测地基准和特殊任务轨道。
451,科学/测地,COSMOS 1989 (ETALON 1),19751,1989-001C,MEO,"约19,126 km",64.95,2.13156,geodetic,测地卫星,适合讲解空间科学、测地基准和特殊任务轨道。
452,科学/测地,COSMOS 2024 (ETALON 2),20026,1989-039C,MEO,"约19,122 km",64.93,2.132046,geodetic,测地卫星,适合讲解空间科学、测地基准和特殊任务轨道。
453,科学/测地,LARES,38077,2012-006A,LEO,"约1,444 km",69.49,12.549322,geodetic,测地卫星,适合讲解空间科学、测地基准和特殊任务轨道。
454,科学/测地,LARES-2,53105,2022-080A,HEO/其他,"约5,889 km",70.16,6.389651,geodetic,测地卫星,适合讲解空间科学、测地基准和特殊任务轨道。
455,科学/测地,LARETS,27944,2003-042F,SSO/近极轨,约681 km,98.42,14.638699,geodetic,测地卫星,适合讲解空间科学、测地基准和特殊任务轨道。
456,科学/测地,STARLETTE,7646,1975-010A,LEO,约956 km,49.82,13.823504,geodetic,测地卫星,适合讲解空间科学、测地基准和特殊任务轨道。
457,科学/测地,STELLA,22824,1993-061B,SSO/近极轨,约800 km,98.77,14.274706,geodetic,测地卫星,适合讲解空间科学、测地基准和特殊任务轨道。
458,立方星/教育,CUBESAT XI-IV (CO-57),27848,2003-031J,SSO/近极轨,约813 km,98.68,14.236234,engineering,工程试验卫星,适合讲解小卫星、低成本任务和教育实验。
459,立方星/教育,AEROCUBE 4.5A,38767,2012-048K,LEO,约265 km,64.62,16.036018,cubesat,立方星,适合讲解小卫星、低成本任务和教育实验。
460,立方星/教育,AEROCUBE 5C,40965,2015-058B,LEO,约593 km,64.77,14.914815,cubesat,立方星,适合讲解小卫星、低成本任务和教育实验。
461,立方星/教育,AEROCUBE 6A,40045,2014-033AM,SSO/近极轨,约573 km,97.72,14.981594,cubesat,立方星,适合讲解小卫星、低成本任务和教育实验。
462,立方星/教育,AEROCUBE 6B,40046,2014-033AN,SSO/近极轨,约568 km,97.72,14.996309,cubesat,立方星,适合讲解小卫星、低成本任务和教育实验。
463,立方星/教育,AEROCUBE 7,40966,2015-058C,LEO,约580 km,64.76,14.957663,cubesat,立方星,适合讲解小卫星、低成本任务和教育实验。
464,立方星/教育,AEROCUBE 8C,41853,2016-067F,SSO/近极轨,约492 km,98.06,15.247479,cubesat,立方星,适合讲解小卫星、低成本任务和教育实验。
465,立方星/教育,AEROCUBE 8D,41852,2016-067E,SSO/近极轨,约492 km,98.07,15.244984,cubesat,立方星,适合讲解小卫星、低成本任务和教育实验。
466,立方星/教育,BISONSAT,40974,2015-058L,LEO,约517 km,64.76,15.163744,cubesat,立方星,适合讲解小卫星、低成本任务和教育实验。
467,立方星/教育,CANX-2,32790,2008-021H,SSO/近极轨,约550 km,97.86,15.056719,cubesat,立方星,适合讲解小卫星、低成本任务和教育实验。
468,立方星/教育,CANX-4,40055,2014-034C,SSO/近极轨,约625 km,98.31,14.812778,cubesat,立方星,适合讲解小卫星、低成本任务和教育实验。
469,立方星/教育,CANX-5,40056,2014-034D,SSO/近极轨,约625 km,98.31,14.812943,cubesat,立方星,适合讲解小卫星、低成本任务和教育实验。
470,立方星/教育,CELTEE 1,41850,2016-067C,SSO/近极轨,约507 km,98.07,15.19752,cubesat,立方星,适合讲解小卫星、低成本任务和教育实验。
471,立方星/教育,CORVUS BC1,42847,2017-042Y,SSO/近极轨,约547 km,97.41,15.065054,cubesat,立方星,适合讲解小卫星、低成本任务和教育实验。
472,立方星/教育,CORVUS BC2,42846,2017-042X,SSO/近极轨,约548 km,97.41,15.063422,cubesat,立方星,适合讲解小卫星、低成本任务和教育实验。
473,立方星/教育,CORVUS BC4,43767,2018-099K,SSO/近极轨,约529 km,97.41,15.125506,cubesat,立方星,适合讲解小卫星、低成本任务和教育实验。
474,立方星/教育,CROCUBE,62394,2024-247T,LEO,约421 km,44.97,15.486082,cubesat,立方星,适合讲解小卫星、低成本任务和教育实验。
475,立方星/教育,CUBESAT XI-V,28895,2005-043F,SSO/近极轨,约653 km,98.3,14.726479,amateur,业余无线电卫星,适合讲解小卫星、低成本任务和教育实验。
476,立方星/教育,FORESAIL-1 PRIME,66778,2025-276DS,SSO/近极轨,约510 km,97.42,15.187556,cubesat,立方星,适合讲解小卫星、低成本任务和教育实验。
477,立方星/教育,GRBBETA,60237,2024-128C,LEO,约547 km,61.99,15.066732,cubesat,立方星,适合讲解小卫星、低成本任务和教育实验。
478,立方星/教育,HORYU-4,41340,2016-012D,LEO,约263 km,30.98,16.043403,cubesat,立方星,适合讲解小卫星、低成本任务和教育实验。
479,立方星/教育,LASARSAT,62391,2024-247Q,LEO,约427 km,44.97,15.466787,cubesat,立方星,适合讲解小卫星、低成本任务和教育实验。
480,立方星/教育,LMRST-SAT,40971,2015-058H,LEO,约596 km,64.77,14.906108,cubesat,立方星,适合讲解小卫星、低成本任务和教育实验。
481,立方星/教育,M2 PATHFINDER,45727,2020-037E,SSO/近极轨,约553 km,97.81,15.046959,cubesat,立方星,适合讲解小卫星、低成本任务和教育实验。
482,立方星/教育,MAKERSAT 0,43016,2017-073D,SSO/近极轨,约469 km,97.46,15.322758,cubesat,立方星,适合讲解小卫星、低成本任务和教育实验。
483,立方星/教育,NANOSATC-BR1,40024,2014-033Q,SSO/近极轨,约471 km,98.07,15.316852,cubesat,立方星,适合讲解小卫星、低成本任务和教育实验。
484,立方星/教育,NEE-01 PEGASO,39151,2013-018B,SSO/近极轨,约587 km,98.12,14.936892,cubesat,立方星,适合讲解小卫星、低成本任务和教育实验。
485,立方星/教育,NEE-02 KRYSAOR,39441,2013-066AB,SSO/近极轨,约609 km,97.89,14.866506,cubesat,立方星,适合讲解小卫星、低成本任务和教育实验。
486,立方星/教育,NETSAT-1,46506,2020-068W,SSO/近极轨,约462 km,97.87,15.348026,cubesat,立方星,适合讲解小卫星、低成本任务和教育实验。
487,立方星/教育,NETSAT-2,46507,2020-068X,SSO/近极轨,约428 km,97.86,15.463047,cubesat,立方星,适合讲解小卫星、低成本任务和教育实验。
488,立方星/教育,NETSAT-3,46505,2020-068V,SSO/近极轨,约438 km,97.87,15.429214,cubesat,立方星,适合讲解小卫星、低成本任务和教育实验。
489,立方星/教育,NETSAT-4,46504,2020-068U,SSO/近极轨,约434 km,97.86,15.440988,cubesat,立方星,适合讲解小卫星、低成本任务和教育实验。
490,立方星/教育,OPTICUBE 04,41851,2016-067D,SSO/近极轨,约537 km,98.07,15.096904,cubesat,立方星,适合讲解小卫星、低成本任务和教育实验。
